Attribute,Cluster ID
zip_code,0
provider_number,0
hbips_6_overall_percentage_of_total,2
hbips_7_overall_percentage_of_total,2
imm_2_percentage,3
sub_1_percentage,3
tob_1_percentage,4
tob_2_percentage,5
fuh_30_percentage,5
fuh_7_percentage,6
hbips_5_overall_num,6
country_name,6
hbips_5_overall_den,6
tob_2a_percentage,6
fuh_7_numerator,10
tob_2_2a__denominator,10
fuh_7_denominator,10
tob_2a_numerator,10
city,13
hbips_6_overall_num,14
hcp_numerator,14
hbips_3_overall_num,15
hcp_denominator,15
hbips_7_overall_num,15
hbips_6_overall_den,15
imm_2_denominator,16
sub_1_denominator,16
start_date,18
start_date,18
start_date,18
start_date,18
start_date,18
start_date,18
end_date,18
end_date,18
end_date,18
end_date,18
end_date,18
end_date,18
flu_season_start_date,18
flu_season_start_date,18
flu_season_start_date,18
flu_season_start_date,18
flu_season_start_date,18
flu_season_start_date,18
fuh_measure_start_date,18
fuh_measure_start_date,18
fuh_measure_start_date,18
fuh_measure_start_date,18
fuh_measure_start_date,18
fuh_measure_start_date,18
fuh_measure_end_date,18
fuh_measure_end_date,18
fuh_measure_end_date,18
fuh_measure_end_date,18
fuh_measure_end_date,18
fuh_measure_end_date,18
flu_season_end_date,18
flu_season_end_date,18
flu_season_end_date,18
flu_season_end_date,18
flu_season_end_date,18
flu_season_end_date,18
hbips_5_overall_percentage_of_total,20
tob_1_denominator,22
imm_2_numerator,22
sub_1_numerator,22
tob_1_numerator,22
hbips_2_overall_rate_per_1000,22
hbips_7_overall_den,22
tob_2_numerator,23
hbips_3_overall_den,24
hbips_2_overall_den,24
tob_2_2a_denominator,24
fuh_30_denominator,24
ehr_use_measure_description,26
hospital_name,26
hbips_2_measure_description,26
imm_2_measure_description,27
ehr_use_response,27
hbips_3_measure_description,27
sub_1_measure_description,27
sub_1_measure_description,27
tob_1_measure_description,27
tob_1_measure_description,27
address,27
state,28
hbips_2_overall_num,29
fuh_30_numerator,30
peoc_measure_description,33
hie_response,35
hcp_percentage,35
peoc_assessed_response,36
hcp_footnote,38
hbips_5_overall_footnote,38
tob_2_footnote,38
tob_1_footnote,38
tob_2a_footnote,38
imm_2_footnote,38
fuh_30_footnote,38
sub_1_footnote,38
fuh_7_footnote,38
hcp_measure_description,41
hbips_3_overall_rate_per_1000,43
peoc_assessed_footnote,45
peoc_assessed_footnote,45
peoc_assessed_footnote,45
hbips_6_overall_footnote,45
hbips_3_overall_footnote,45
ehr_use_footnote,45
ehr_use_footnote,45
ehr_use_footnote,45
hbips_7_overall_footnote,45
hbips_2_overall_footnote,45
hie_footnote,45
hie_footnote,45
hie_footnote,45
tob_2_2a_measure_desc,47
hbips_6_measure_description,47
hie_measure_description,47
hbips_5_measure_description,48
fuh_measure_description,48
hbips_7_measure_description,48
