Attribute,Cluster ID
s_flu_season_start_date,29
s_tob_2_percentage,44
s_tob_1_measure_description,18
s_sub_1_numerator,41
s_hbips_7_measure_description,10
s_hbips_2_overall_rate_per_1000,44
s_ehr_certified_percentage,44
s_ehr_paper_percentage,44
s_flu_season_end_date,29
s_hbips_3_overall_rate_per_1000,44
s_tob_2a_percentage,44
s_tob_1_numerator,41
s_tob_2a_numerator,41
tob_2_2a_measure_desc,18
s_hbips_3_overall_den,23
s_hbips_5_overall_num,32
s_ehr_certified_count,46
s_hbips_3_overall_num,38
s_imm_2_percentage,44
end_date,29
s_fuh_measure_start_date,29
s_hcp_denominator,41
s_hie_no_percent,44
s_peoc_measure_description,18
s_peoc_no_count,46
s_imm_2_denominator,41
s_fuh_7_percentage,44
s_tob_1_percentage,44
state,12
s_hbips_2_overall_num,38
s_hbips_2_measure_description,9
s_hbips_7_overall_percentage_of_total,44
s_hcp_percentage,44
s_ehr_paper_count,46
s_hbips_5_overall_percentage_of_total,44
s_hbips_2_overall_den,23
s_hcp_measure_description,11
s_sub_1_measure_description,18
s_hbips_7_overall_den,41
s_hie_yes_count,46
s_fuh_7_numerator,32
s_tob_2_2a_denominator,41
s_tob_2_2a__denominator,41
s_peoc_no_percentage,46
s_fuh_30_numerator,41
s_sub_1_denominator,41
s_ehr_use_measure_description,18
s_hbips_6_overall_num,41
s_sub_1_percentage,44
s_hbips_6_overall_den,41
s_hie_yes_percent,44
s_hbips_6_measure_description,9
s_hbips_3_measure_description,18
s_fuh_7_denominator,41
s_hcp_numerator,41
s_fuh_measure_description,2
s_tob_1_denominator,41
s_ehr_non_certified_percentage,45
s_peoc_yes_count,46
s_imm_2_numerator,41
s_hbips_6_overall_percentage_of_total,44
s_fuh_measure_end_date,29
start_date,29
s_hbips_5_overall_den,32
s_imm_2_measure_description,11
s_hie_no_count,46
s_peoc_yes_percentage,45
s_hbips_7_overall_num,41
s_hbips_5_measure_description,10
s_fuh_30_denominator,41
s_tob_2_numerator,41
s_fuh_30_percentage,44
s_ehr_non_certified_count,44
s_hie_measure_description,18
